Zone,Kills,Deaths
BombsiteA,5,1
Rafters,1,0
Outside,4,1
Trophy,0,1
Vending,3,0
BombsiteB,2,1
Ramp,4,0
Squeaky,1,0
Control,3,2
Mini,1,0
Lobby,1,0
Garage,0,1
Hut,1,0
Tunnels,3,0
